hypothesis_id,window_id,host,src_entity,src_type,relation,dst_entity,dst_type,canonical_src,canonical_dst,approx_timestamp,user,command,args,supporting_side_views,supporting_observations,n_self,runs,R_cross,R_self,reliability,matched_removed_event,matched_removed_event_id,matched_original_event_id,matched_removed_reason,confidence_rationale
REC0001,W002,ws-finance-01,firefox:2412@ws-finance-01,process,connect,198.51.100.23:443,socket,firefox@ws-finance-01,198.51.100.23:443,2026-01-20 09:24:17,u_fin,connect,download payload,metrics;traffic,F0001 | F0001 network flow evidence | ME0001 | ME0001 metric clue event,5,"1,2,3,4,5",1.0,1.0,1.0,1,R0001,E0001,hide initial payload server connection,"Network flow shows a connection to an external IP with significant data transfer, supported by host metric burst."
REC0002,W002,ws-finance-01,firefox:2412@ws-finance-01,process,write,/home/u_fin/Downloads/report_update.pdf,file,firefox@ws-finance-01,/home/u_fin/Downloads/report_update.pdf,2026-01-20 09:24:51,u_fin,write,downloaded suspicious update container,log_context;metrics,E0002 | ME0001,3,"1,3,4",1.0,0.6,0.6,0,,,,"Host metric indicates a burst in disk write activity, matching the download completion."
REC0003,W002,ws-finance-01,update-check:2440@ws-finance-01,process,execute,/tmp/.session-x1,file,update-check@ws-finance-01,/tmp/.session-x1,2026-01-20 09:24:51,u_fin,update-check,create local session marker,log_context;metrics,E0006 | ME0001,1,2,1.0,0.2,0.2,0,,,,Correlated to prior suspicious download and associated with a metric burst (ME0001) indicating payload execution.
REC0004,W002,ws-finance-01,firefox:2412@ws-finance-01,process,write,/tmp/.session-x1,file,firefox@ws-finance-01,/tmp/.session-x1,2026-01-20 09:24:51,u_fin,write,create local session marker,log_context;metrics,E0006 audit log context | ME0001 metric clue event,1,5,1.0,0.2,0.2,0,,,,High confidence due to disk write burst and continuity with observed session marker creation.
REC0005,W006,ws-finance-01,sh:3011@ws-finance-01,process,connect,198.51.100.77:443,socket,sh@ws-finance-01,198.51.100.77:443,2026-01-20 10:06:18,root,connect,first_checkin,metrics;traffic,BF000257 | F0004 | F0004: first_checkin flow | F0004: ws-finance-01 10.20.1.11:49310 -> 198.51.100.77:443 (HTTPS pattern=first_checkin) | ME0003 | ME0004: ws-finance-01 persistence write burst before syswatch entry,4,"1,2,4,5",1.0,0.8,0.8,0,,,,Network flow indicates external HTTPS check-in with anomalous metrics burst suggesting privilege escalation.
REC0006,W006,ws-finance-01,cron:902@ws-finance-01,process,write,/etc/cron.d/syswatch,file,cron@ws-finance-01,/etc/cron.d/syswatch,2026-01-20 10:08:30,root,write,cron persists new entry,log_context;metrics,E0020 | E0020: cron reads new persistence entry | ME0004 | ME0004: abnormal disk writes before syswatch appears in later logs,2,"1,4",1.0,0.4,0.4,0,,,,Metrics show abnormal disk write burst aligned with log context indicating new persistence entry.
REC0007,W006,ws-finance-01,sh:3011@ws-finance-01,process,write,/etc/cron.d/syswatch,file,sh@ws-finance-01,/etc/cron.d/syswatch,2026-01-20 10:06:18,root,write,add persistence entry for syswatch,log_context;metrics,E0020 | 2026-01-20 10:08:30 | ws-finance-01 | cron reads new persistence entry | ME0004 | 2026-01-20 10:05:00~2026-01-20 10:07:00 | ws-finance-01 | abnormal disk writes before syswatch appears in later logs | ME0004: persistence_write_burst,2,"2,3",1.0,0.4,0.4,1,R0009,E0019,hide cron persistence write,High disk write burst aligned with syswatch persistence addition.
REC0008,W006,ws-finance-01,firefox:2101@ws-finance-01,process,connect,198.51.100.77:443,socket,firefox@ws-finance-01,198.51.100.77:443,2026-01-20 10:06:18,u_fin,connect,first external check-in,traffic,F0004 | 2026-01-20 10:06:18~2026-01-20 10:06:30 | ws-finance-01 10.20.1.11:49310 -> 198.51.100.77:443 | service=HTTPS pattern=first_checkin | bytes_out=1140 bytes_in=1780,1,3,1.0,0.2,0.2,0,,,,Directly supported by network flow evidence indicating external HTTPS connection.
REC0009,W006,ws-finance-01,sh:3011@ws-finance-01,process,execute,/etc/cron.d/syswatch,file,sh@ws-finance-01,/etc/cron.d/syswatch,2026-01-20 10:06:18,root,sh,execute maintenance helper script,log_context;metrics,E0020 | ME0003 | ME0004,1,5,1.0,0.2,0.2,0,,,,"High CPU and disk write burst on ws-finance-01 during the suspected persistence activity window, followed by a cron read event."
REC0010,W021,ws-finance-01,syswatch:3280@ws-finance-01,process,connect,198.51.100.77:443,socket,syswatch@ws-finance-01,198.51.100.77:443,2026-01-20 12:31:04,root,syswatch,TLS-like beacon to external endpoint,log_context;metrics;traffic,E0042 | F0009 | F0009 network flow showing outbound HTTPS beacon to 198.51.100.77 | ME0009 | ME0009 metric anomaly indicating periodic outbound TLS-like flows,5,"1,2,3,4,5",1.0,1.0,1.0,1,R0012,E0044,hide repeated syswatch C2 connect edge,Periodic outbound network burst (ME0009) aligns with unsupported external flow (F0009).
